,id,network,size,query,evidence,method,prune,heuristic,result,time
17,0d57e133-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['f'],"{'h': False, 'a': False}",map,False,fill,"{'p': {0: 0.075, 1: 0.075}, 'f': {0: False, 1: True}}",0.23670933599350974
18,0d57e134-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['f'],"{'h': False, 'a': False}",map,True,degree,"{'p': {0: 0.075, 1: 0.075}, 'f': {0: False, 1: True}}",0.16635027597658336
19,0d57e135-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['f'],"{'h': False, 'a': False}",map,False,degree,"{'p': {0: 0.075, 1: 0.075}, 'f': {0: False, 1: True}}",0.24135250100516714
20,0d57e136-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['f'],"{'h': False, 'a': False}",mpe,True,fill,"{'p': {0: 0.01875, 1: 0.01875}, 'a': {0: False, 1: False}, 'c': {0: True, 1: True}, 'h': {0: False, 1: False}, 'b': {0: True, 1: True}, 'i': {0: False, 1: True}}",0.04799385298974812
21,0d57e137-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['f'],"{'h': False, 'a': False}",mpe,False,fill,"{'p': {0: 0.0005859375, 1: 0.0005859375}, 'a': {0: False, 1: False}, 'e': {0: True, 1: True}, 'f': {0: True, 1: True}, 'g': {0: True, 1: True}, 'b': {0: True, 1: True}, 'c': {0: True, 1: True}, 'h': {0: False, 1: False}, 'd': {0: True, 1: True}, 'i': {0: True, 1: True}, 'j': {0: False, 1: True}}",0.09592844199505635
22,0d57e138-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['f'],"{'h': False, 'a': False}",mpe,True,degree,"{'p': {0: 0.01875}, 'c': {0: True}, 'i': {0: True}, 'h': {0: False}, 'b': {0: True}, 'a': {0: False}}",0.057695893017807975
23,0d57e139-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['f'],"{'h': False, 'a': False}",mpe,False,degree,"{'p': {0: 0.0005859375}, 'e': {0: True}, 'd': {0: True}, 'g': {0: True}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: False}, 'a': {0: False}}",0.11700045102043077
24,0d57e13a-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'g']",{'f': True},map,True,fill,"{'p': {0: 0.15, 1: 0.15}, 'a': {0: True, 1: True}, 'g': {0: False, 1: True}}",0.08831204398302361
25,0e9f264e-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'g']",{'f': True},map,False,fill,"{'p': {0: 0.15, 1: 0.15}, 'a': {0: True, 1: True}, 'g': {0: False, 1: True}}",0.28967489500064403
26,0e9f264f-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'g']",{'f': True},map,True,degree,"{'p': {0: 0.15}, 'g': {0: True}, 'a': {0: True}}",0.08662298799026757
27,0e9f2650-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'g']",{'f': True},map,False,degree,"{'p': {0: 0.15}, 'g': {0: True}, 'a': {0: True}}",0.2905064170190599
28,0e9f2651-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'g']",{'f': True},mpe,True,fill,"{'p': {0: 0.15}, 'a': {0: True}, 'c': {0: True}, 'f': {0: True}}",0.027833419997477904
29,0e9f2652-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'g']",{'f': True},mpe,False,fill,"{'p': {0: 0.001171875, 1: 0.001171875}, 'a': {0: True, 1: True}, 'e': {0: True, 1: True}, 'f': {0: True, 1: True}, 'g': {0: True, 1: True}, 'b': {0: True, 1: True}, 'c': {0: True, 1: True}, 'h': {0: True, 1: True}, 'd': {0: True, 1: True}, 'i': {0: True, 1: True}, 'j': {0: False, 1: True}}",0.09753259801073
30,0e9f2653-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'g']",{'f': True},mpe,True,degree,"{'p': {0: 0.15}, 'f': {0: True}, 'c': {0: True}, 'a': {0: True}}",0.02801796401035972
31,0e9f2654-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['a', 'g']",{'f': True},mpe,False,degree,"{'p': {0: 0.001171875}, 'e': {0: True}, 'd': {0: True}, 'g': {0: True}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: True}, 'a': {0: True}}",0.11575129101402126
32,0e9f2655-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'g': False},map,True,fill,"{'p': {0: 0.3}, 'a': {0: True}}",0.06020357500528917
33,0e9f2656-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'g': False},map,False,fill,"{'p': {0: 0.3}, 'a': {0: True}}",0.20641090400749817
34,0e9f2657-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'g': False},map,True,degree,"{'p': {0: 0.3}, 'a': {0: True}}",0.05813109202426858
35,0e9f2658-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'g': False},map,False,degree,"{'p': {0: 0.3}, 'a': {0: True}}",0.20682478800881654
36,0e9f2659-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'g': False},mpe,True,fill,"{'p': {0: 0.075}, 'a': {0: True}, 'c': {0: True}, 'f': {0: True}, 'g': {0: False}}",0.03334379300940782
